video_id,category_id,category_title,publishedAt,trending_date,view_count,likes,dislikes,comment_count,comments_disabled,ratings_disabled,trending_days,view_increase,like_increase,comment_increase,diff_days,engagement
YuCqyvBlcK8,22,People & Blogs,2020-08-16,2020-08-17,733316,38203,426,2374,False,False,6 days,1200750,33906,1462,1 days,2010011
gWVn4jp6Mgo,22,People & Blogs,2020-08-16,2020-08-17,357802,52392,170,4501,False,False,6 days,391333,33509,2481,1 days,842018
qfAx5Rz3wF8,22,People & Blogs,2020-08-16,2020-08-17,414897,28245,319,1890,False,False,6 days,807030,21687,1049,1 days,1274798
WY1ptfuqWa8,22,People & Blogs,2020-08-15,2020-08-17,747267,56755,252,9874,False,False,5 days,360828,17392,1592,2 days,1193708
-PmkvlDk-yI,22,People & Blogs,2020-08-17,2020-08-18,1066082,125353,597,9195,False,False,6 days,1133746,72835,3644,1 days,2410855
5EmogAQjN0w,22,People & Blogs,2020-08-16,2020-08-18,1047926,32103,736,2861,False,False,5 days,311568,4436,315,2 days,1399209
NuExff4-ty4,22,People & Blogs,2020-08-18,2020-08-19,1522409,110812,56887,46894,False,False,6 days,2578717,65871,49410,1 days,4374113
jAQ6451SE8A,22,People & Blogs,2020-08-18,2020-08-19,2664440,202468,3940,9565,False,False,6 days,2252544,64740,3467,1 days,5197224
NY3Zg37nIHo,22,People & Blogs,2020-08-18,2020-08-19,2012558,68090,1710,14847,False,False,6 days,3235628,54664,9218,1 days,5395005
uJz3d7zusqk,22,People & Blogs,2020-08-18,2020-08-19,412487,27857,234,2343,False,False,5 days,227767,9267,484,1 days,680205
ZseB7byPdi0,22,People & Blogs,2020-08-19,2020-08-20,2675841,259118,2933,12675,False,False,4 days,1625430,96482,3115,1 days,4672661
53PcrhnHuwQ,22,People & Blogs,2020-08-20,2020-08-21,2183019,271296,1717,49156,False,False,6 days,2212210,79395,12742,1 days,4807818
RftAgxejgg4,22,People & Blogs,2020-08-21,2020-08-22,273359,28704,295,1791,False,False,5 days,776962,33223,1485,1 days,1115524
qEZp8qLp6PY,22,People & Blogs,2020-08-21,2020-08-22,252048,7946,160,423,False,False,3 days,258222,2542,119,1 days,521300
_BMsaSn5B58,22,People & Blogs,2020-08-21,2020-08-23,203978,19476,158,2117,False,False,3 days,41076,2116,207,2 days,268970
g0P4j0l__rA,22,People & Blogs,2020-08-19,2020-08-23,1235030,132057,1062,5445,False,False,2 days,46747,4031,77,4 days,1423387
s7Rne3KEms8,22,People & Blogs,2020-08-23,2020-08-24,2397837,238399,4528,12924,False,False,6 days,2826216,116528,5055,1 days,5596959
fYVouIyOXC0,22,People & Blogs,2020-08-23,2020-08-24,930536,37158,578,2608,False,False,5 days,1123048,27037,1387,1 days,2121774
hSeBV1yFsSE,22,People & Blogs,2020-08-23,2020-08-24,317648,82546,113,10455,False,False,4 days,70706,9451,485,1 days,491291
EH1d49ETtE4,22,People & Blogs,2020-08-24,2020-08-25,172152,8246,165,927,False,False,4 days,91065,1980,208,1 days,274578
HFOK-RHimkw,22,People & Blogs,2020-08-25,2020-08-25,478914,43839,940,4159,False,False,5 days,1227637,63966,3553,0 days,1822068
D5LbWhfElgk,22,People & Blogs,2020-08-25,2020-08-26,575605,38302,936,2813,False,False,5 days,1247728,62678,2957,1 days,1930083
uVXcBBa9UNA,22,People & Blogs,2020-08-25,2020-08-26,610414,48089,578,3353,False,False,5 days,386905,15281,864,1 days,1064906
j3zapgI1dx8,22,People & Blogs,2020-08-25,2020-08-26,192424,43262,432,3755,False,False,4 days,331533,34682,2358,1 days,608014
r91dDtjHWCk,22,People & Blogs,2020-08-24,2020-08-26,411474,84807,190,3789,False,False,3 days,255006,35300,930,2 days,791306
arIdokXZtiI,22,People & Blogs,2020-08-26,2020-08-27,436015,30859,326,2311,False,False,4 days,253904,12464,465,1 days,736018
ffygKCta8KQ,22,People & Blogs,2020-08-25,2020-08-27,2800279,187150,2831,12409,False,False,3 days,644208,23172,1002,2 days,3668220
zk_xpfNOKoE,22,People & Blogs,2020-08-25,2020-08-27,812164,20786,770,2871,False,False,2 days,35066,712,62,2 days,871661
epKhvHMjAvs,22,People & Blogs,2020-08-28,2020-08-28,1122563,161414,951,0,True,False,8 days,6752833,337553,0,0 days,8374363
9NS6J-zYAQw,22,People & Blogs,2020-08-28,2020-08-29,1810311,211214,2041,18085,False,False,4 days,1383169,55313,3450,1 days,3481542
Th7Ega6WwJQ,22,People & Blogs,2020-08-26,2020-08-29,162958,16013,92,1098,False,False,2 days,12838,858,30,3 days,193795
y6-Lr9XxO_A,22,People & Blogs,2020-08-29,2020-08-30,937816,139515,659,14143,False,False,6 days,943557,49349,5268,1 days,2089648
95s_CrR1DVM,22,People & Blogs,2020-08-29,2020-08-30,787898,136206,469,13909,False,False,7 days,2299156,135442,13238,1 days,3385849
1H_2mem64fA,22,People & Blogs,2020-08-29,2020-08-30,2667797,215755,3362,12472,False,False,6 days,1464612,52973,2526,1 days,4416135
Hg-e7nDVsRY,22,People & Blogs,2020-08-28,2020-08-30,1475351,172886,615,8809,False,False,5 days,611851,42689,1417,2 days,2313003
NMahDXfzH10,22,People & Blogs,2020-08-28,2020-08-30,322422,33884,2752,2823,False,False,4 days,131916,9747,971,2 days,501763
0EMWaPJ5wO4,22,People & Blogs,2020-08-28,2020-08-30,176225,6214,553,1036,False,False,4 days,100043,2052,279,2 days,285849
xAJrk4oR2rk,22,People & Blogs,2020-08-30,2020-08-31,1457387,152308,1425,26664,False,False,6 days,1388625,54047,8516,1 days,3087547
ACKYhlBi98Q,22,People & Blogs,2020-08-30,2020-08-31,1106410,40113,848,2606,False,False,6 days,1163512,27308,1233,1 days,2341182
9SI8kfsTAl0,22,People & Blogs,2020-08-30,2020-08-31,2399518,218095,2283,7267,False,False,5 days,1750807,80450,1438,1 days,4457575
KaAhYo5NZwE,22,People & Blogs,2020-08-30,2020-08-31,241749,21792,529,2142,False,False,5 days,153497,7288,524,1 days,426992
9KuBzafhx6A,22,People & Blogs,2020-08-30,2020-08-31,620684,154551,589,12673,False,False,5 days,322895,37820,1360,1 days,1149983
TINvMNwe0Ag,22,People & Blogs,2020-08-29,2020-08-31,157645,12629,312,787,False,False,5 days,43551,1769,3,2 days,216384
c5AqSPDWflA,22,People & Blogs,2020-08-31,2020-09-01,1505689,69395,2079,2418,False,False,7 days,2978529,73839,1826,1 days,4631696
_vPbGxlHTjE,22,People & Blogs,2020-08-31,2020-09-01,504415,45763,539,2796,False,False,5 days,409570,22376,885,1 days,985805
9Wo9U7Cp8Fs,22,People & Blogs,2020-08-31,2020-09-01,395167,30827,262,978,False,False,5 days,179973,7373,173,1 days,614491
eNpx7dxcWBI,22,People & Blogs,2020-08-31,2020-09-02,1007249,92975,8172,0,True,False,6 days,433891,17714,0,2 days,1551829
izVdUXx5zaU,22,People & Blogs,2020-08-06,2020-09-02,1205139,24,19,16,False,False,4 days,1524654,18,25,27 days,2729876
z0K6r1hoD7I,22,People & Blogs,2020-09-02,2020-09-03,5451829,694787,3125,59772,False,False,6 days,3212379,188000,12280,1 days,9619047
4gmuBSgYsb0,22,People & Blogs,2020-09-02,2020-09-03,105389,11897,76,1825,False,False,5 days,86465,3129,179,1 days,208884
KlwcjoAmgXo,22,People & Blogs,2020-09-01,2020-09-03,199130,17560,199,1220,False,False,4 days,137962,8789,275,2 days,364936
UtjV_J8webA,22,People & Blogs,2020-09-02,2020-09-03,306871,25632,165,2944,False,False,4 days,107320,7657,656,1 days,451080
CG5del3ZYts,22,People & Blogs,2020-09-04,2020-09-05,244468,34616,85,2581,False,False,4 days,249632,20981,1122,1 days,553400
lZkskeziIf8,22,People & Blogs,2020-09-04,2020-09-06,452973,36918,217,1396,False,False,5 days,407185,20487,639,2 days,919598
58XEfDtU0Z4,22,People & Blogs,2020-09-06,2020-09-07,2377984,231087,2080,21211,False,False,6 days,2107477,105782,5595,1 days,4849136
dXbDgrGAs-w,22,People & Blogs,2020-09-06,2020-09-07,2922590,229168,5334,14935,False,False,6 days,3593606,139332,6124,1 days,6905755
x0ix30SJlVk,22,People & Blogs,2020-09-06,2020-09-07,486739,37695,381,6814,False,False,6 days,956933,25534,4137,1 days,1517852
emnA7QD0h4k,22,People & Blogs,2020-09-05,2020-09-07,459947,13548,603,0,True,False,6 days,4870236,74686,0,2 days,5418417
SLk2-o9jqVA,22,People & Blogs,2020-09-05,2020-09-07,301801,9189,197,826,False,False,5 days,212149,2648,183,2 days,526796
ZW4iVME7ACI,22,People & Blogs,2020-09-05,2020-09-07,228322,18630,91,973,False,False,4 days,63968,2264,125,2 days,314282
f8BLlSvqrVc,22,People & Blogs,2020-09-06,2020-09-07,752561,31256,415,2125,False,False,4 days,617545,15880,735,1 days,1420102
0hQhE4xZQ_A,22,People & Blogs,2020-09-08,2020-09-08,298928,32452,643,3312,False,False,6 days,1109326,57654,3473,0 days,1505145
ASrVL97wX2E,22,People & Blogs,2020-09-08,2020-09-08,213086,5166,411,1755,False,False,5 days,56154,325,284,0 days,276770
iVKf872FrJo,22,People & Blogs,2020-09-05,2020-09-08,247437,25558,397,3687,False,False,4 days,351832,27157,2484,3 days,658155
yYIdRjv94uE,22,People & Blogs,2020-09-08,2020-09-09,1286513,0,0,4643,False,True,5 days,1943713,0,2548,1 days,3237417
RUSnENNpIYA,22,People & Blogs,2020-09-08,2020-09-09,646983,79064,385,2709,False,False,5 days,1046022,56582,1362,1 days,1832722
RAoe0VtwB0o,22,People & Blogs,2020-09-08,2020-09-09,829049,52270,1011,3369,False,False,5 days,449619,14425,795,1 days,1349527
Yh8M4Ey7Qy4,22,People & Blogs,2020-09-08,2020-09-09,180363,9090,297,1238,False,False,5 days,234519,7727,880,1 days,433817
SfpUM5Wrh2A,22,People & Blogs,2020-09-09,2020-09-10,790166,28780,360,2112,False,False,5 days,1520325,36961,3035,1 days,2381379
onKcihnxHQ4,22,People & Blogs,2020-09-08,2020-09-10,173941,16273,299,1154,False,False,4 days,39751,3107,156,2 days,234382
53vz5pQH0Rg,22,People & Blogs,2020-09-10,2020-09-11,3152647,170521,74689,25279,False,False,6 days,11378339,104949,26150,1 days,14857885
Y9MWow91FsA,22,People & Blogs,2020-09-10,2020-09-11,403813,31362,345,1801,False,False,4 days,326369,11739,451,1 days,775535
1PBmPN0tqys,22,People & Blogs,2020-09-11,2020-09-12,1114401,73828,2229,4558,False,False,4 days,683091,24101,792,1 days,1900771
TjmBWWLef98,22,People & Blogs,2020-09-11,2020-09-12,330814,25306,216,3140,False,False,4 days,229837,6983,815,1 days,596895
wdznN3-h_5Y,22,People & Blogs,2020-09-11,2020-09-12,386411,41918,511,6280,False,False,3 days,598808,28237,1647,1 days,1063301
ZtSP8fuRACA,22,People & Blogs,2020-09-13,2020-09-13,936264,53449,708,5313,False,False,6 days,1662890,35111,3975,0 days,2697002
WS979NH49Kc,22,People & Blogs,2020-09-12,2020-09-13,1762095,148539,3424,10027,False,False,4 days,1300595,51250,1714,1 days,3274220
iRyXDCckvuc,22,People & Blogs,2020-09-13,2020-09-14,1540079,56570,893,3406,False,False,5 days,925926,24830,1049,1 days,2551860
qHO-wInp-0k,22,People & Blogs,2020-09-13,2020-09-14,766525,70501,990,6123,False,False,3 days,309012,14302,736,1 days,1167199
1sLpmqiSWtU,22,People & Blogs,2020-09-13,2020-09-14,128122,10222,248,0,True,False,4 days,74948,1976,0,1 days,215268
-sjJ7MvByBk,22,People & Blogs,2020-09-13,2020-09-14,313646,90618,121,8845,False,False,4 days,92618,14837,768,1 days,521332
YH9Nwa0RvO8,22,People & Blogs,2020-09-14,2020-09-15,1450311,244095,4130,17098,False,False,5 days,2773871,173011,12523,1 days,4670909
TEF49hVvDy4,22,People & Blogs,2020-09-14,2020-09-15,1960184,134430,1916,9834,False,False,5 days,1061498,38372,1204,1 days,3205522
FxRCyFSq1nI,22,People & Blogs,2020-09-13,2020-09-15,2530061,219190,3395,29439,False,False,5 days,712028,27575,2288,2 days,3520581
tPAUrneFyxA,22,People & Blogs,2020-09-13,2020-09-15,955005,45991,1300,5231,False,False,5 days,207415,6287,592,2 days,1220521
VvTjy1lwhxQ,22,People & Blogs,2020-09-14,2020-09-15,89806,4124,293,526,False,False,5 days,201368,6539,591,1 days,302954
no2QNIWK19o,22,People & Blogs,2020-09-15,2020-09-15,1939811,451616,1047,24233,False,False,5 days,1384826,142607,5900,0 days,3948993
32vhqVYosjg,22,People & Blogs,2020-09-14,2020-09-15,245896,12735,318,1088,False,False,5 days,290575,5837,406,1 days,556537
jrVmGew1ztk,22,People & Blogs,2020-09-15,2020-09-16,1814387,0,0,12463,False,True,5 days,2105054,0,8462,1 days,3940366
dPzL1SW0ceI,22,People & Blogs,2020-09-16,2020-09-16,221321,14278,658,1191,False,False,4 days,197014,4697,316,0 days,438817
dIdNOzVIPCI,22,People & Blogs,2020-09-15,2020-09-16,613010,63225,141,2385,False,False,4 days,1411242,49288,1097,1 days,2140247
bmKI7hBhny8,22,People & Blogs,2020-09-15,2020-09-16,1522261,142279,2476,14245,False,False,3 days,405267,25722,806,1 days,2110580
_-WM2akp-6Q,22,People & Blogs,2020-09-14,2020-09-16,170404,8130,31,368,False,False,3 days,265708,6751,260,2 days,451621
vUyV96_A9Ho,22,People & Blogs,2020-09-14,2020-09-16,456318,64627,428,4407,False,False,4 days,171096,15025,609,2 days,712082
q7u0xsMw3EE,22,People & Blogs,2020-09-16,2020-09-17,7572497,426276,12559,26595,False,False,6 days,8204704,188364,8265,1 days,16426701
WAGlb7u9nqE,22,People & Blogs,2020-09-16,2020-09-17,1524623,353417,817,14682,False,False,4 days,846231,83639,1534,1 days,2824126
21Js_PLWyps,22,People & Blogs,2020-09-16,2020-09-17,115022,12600,214,560,False,False,4 days,273551,23959,649,1 days,426341
8zpwYU_CQPw,22,People & Blogs,2020-09-15,2020-09-17,414846,32524,655,0,True,False,3 days,82504,3678,0,2 days,533552
hECCGJVAs08,22,People & Blogs,2020-09-17,2020-09-18,769451,31595,1241,2467,False,False,4 days,458259,9189,567,1 days,1271528
AWdQFco2L0M,22,People & Blogs,2020-09-17,2020-09-18,255636,40800,278,4674,False,False,3 days,123792,12208,804,1 days,437914
nvEs23YNXVI,22,People & Blogs,2020-09-18,2020-09-19,1120581,64083,1849,5417,False,False,3 days,407196,11020,677,1 days,1608974
Dx0Da_Y2fBg,22,People & Blogs,2020-09-18,2020-09-19,1991481,151014,2594,12617,False,False,4 days,488023,17238,348,1 days,2660721
Rn3FOc_X-fg,22,People & Blogs,2020-09-18,2020-09-19,293421,26096,476,0,True,False,2 days,39087,1756,0,1 days,360360
izvcjaLl6BE,22,People & Blogs,2020-09-19,2020-09-20,1323660,47196,1513,3591,False,False,6 days,5102773,106127,7699,1 days,6591046
8A7_6x2A8hs,22,People & Blogs,2020-09-19,2020-09-20,1036929,26911,882,1713,False,False,4 days,422456,5951,419,1 days,1494379
WSSYHtcIVH8,22,People & Blogs,2020-09-17,2020-09-20,613383,40196,202,2927,False,False,2 days,73091,2033,111,3 days,731741
9hlATAYXDaw,22,People & Blogs,2020-09-20,2020-09-21,452517,8499,322,548,False,False,5 days,632576,9558,650,1 days,1104348
bbRWDcgGxLw,22,People & Blogs,2020-09-20,2020-09-21,129917,3178,113,789,False,False,4 days,150415,2092,334,1 days,286725
hoIrbZKY03M,22,People & Blogs,2020-09-20,2020-09-21,311277,17043,254,1206,False,False,3 days,224787,5718,336,1 days,560367
rpHztlgROH8,22,People & Blogs,2020-09-20,2020-09-21,1518183,480373,770,33679,False,False,3 days,881577,88409,5823,1 days,3008044
unZpEayPXio,22,People & Blogs,2020-09-20,2020-09-21,7497444,871074,15640,64344,False,False,2 days,3516227,188219,7594,1 days,12144902
e5IR0V6Trq0,22,People & Blogs,2020-09-18,2020-09-21,221804,27786,243,4058,False,False,1 days,12660,889,55,3 days,267252
lZC-rooe_zo,22,People & Blogs,2020-09-21,2020-09-22,872855,53202,410,1455,False,False,6 days,3797517,71460,2426,1 days,4798915
ma5BGPh2oPY,22,People & Blogs,2020-09-21,2020-09-22,137012,12152,120,1374,False,False,4 days,83609,4483,462,1 days,239092
Z3WpVrW-59w,22,People & Blogs,2020-09-21,2020-09-22,579065,49821,1212,5447,False,False,4 days,820961,48266,2639,1 days,1506199
7dC9_K0dz48,22,People & Blogs,2020-09-22,2020-09-24,10862957,1086312,16927,49310,False,False,5 days,4657570,220113,9143,2 days,16885405
eyU89NJ04GU,22,People & Blogs,2020-09-23,2020-09-24,595370,100507,251,5962,False,False,5 days,1017898,84016,2390,1 days,1806143
e_G6eM2oq90,22,People & Blogs,2020-09-22,2020-09-24,787967,73138,505,4446,False,False,4 days,511650,30045,1402,2 days,1408648
fZexjyhosSg,22,People & Blogs,2020-09-22,2020-09-24,422806,28469,225,2144,False,False,2 days,145906,4255,239,2 days,603819
c-AGt4IWZGg,22,People & Blogs,2020-09-23,2020-09-25,929535,32661,1018,1388,False,False,4 days,762537,10727,388,2 days,1737236
O_KEwLfGjIc,22,People & Blogs,2020-09-24,2020-09-25,367779,40239,203,1540,False,False,4 days,646641,27879,717,1 days,1084795
wAt4DQtgYwM,22,People & Blogs,2020-09-24,2020-09-26,2836672,251508,2699,14011,False,False,4 days,1011776,50627,1297,2 days,4165891
V2hVA1o1gBE,22,People & Blogs,2020-09-24,2020-09-26,118135,7154,308,0,True,False,3 days,15453,655,0,2 days,141397
U7NrniX5Aj0,22,People & Blogs,2020-09-26,2020-09-27,1773951,204721,1511,21243,False,False,7 days,4238144,181538,9036,1 days,6428633
T8PprcRWG5U,22,People & Blogs,2020-09-27,2020-09-28,5196492,920991,7800,22884,False,False,6 days,6690194,595215,11481,1 days,13437257
uaJ81czm3xA,22,People & Blogs,2020-09-27,2020-09-28,1618833,501659,1304,30133,False,False,6 days,2296053,159749,6524,1 days,4612951
HwOmqeZua0k,22,People & Blogs,2020-09-28,2020-09-29,2320259,127095,2213,5631,False,False,6 days,3766848,106904,3977,1 days,6330714
efsfpz-xJEs,22,People & Blogs,2020-09-27,2020-09-29,1020804,47521,1137,2932,False,False,5 days,489056,9589,480,2 days,1570382
E9bdMxOpm88,22,People & Blogs,2020-09-29,2020-09-30,2225522,217556,853,8977,False,False,6 days,3480731,118356,2369,1 days,6053511
WZ8PFj7YOz4,22,People & Blogs,2020-09-29,2020-09-30,1892545,172590,1760,9952,False,False,5 days,1653659,77389,3229,1 days,3809364
GZs-I3G5mmQ,22,People & Blogs,2020-09-28,2020-09-30,913949,72407,739,5058,False,False,4 days,347405,14267,977,2 days,1354063
8UvWQGDW58E,22,People & Blogs,2020-09-29,2020-09-30,195022,7419,206,642,False,False,4 days,90119,2319,89,1 days,295610
xv10VQcExsw,22,People & Blogs,2020-10-02,2020-10-02,406633,53002,590,4403,False,False,7 days,2085940,61530,3978,0 days,2615486
EEB_d6BXpvY,22,People & Blogs,2020-09-30,2020-10-02,373085,50819,828,8387,False,False,3 days,232744,22360,3165,2 days,690560
B6aoap7-oLQ,22,People & Blogs,2020-10-02,2020-10-03,711560,97140,826,8357,False,False,6 days,1465729,125338,4770,1 days,2412894
4uILdeRF3hw,22,People & Blogs,2020-10-02,2020-10-03,2287407,210873,3671,17385,False,False,6 days,2167642,98834,4212,1 days,4786353
hJ_0vSSZ_LY,22,People & Blogs,2020-10-01,2020-10-03,3623346,211305,1793,6932,False,False,5 days,1853818,47061,922,2 days,5743384
U90DLuT_zvM,22,People & Blogs,2020-10-02,2020-10-03,906503,93808,454,3447,False,False,3 days,1285955,64985,1562,1 days,2356260
312rT5eOTWc,22,People & Blogs,2020-10-02,2020-10-04,228893,20644,59,1365,False,False,4 days,131251,5071,178,2 days,387402
f1e2CPj7UQI,22,People & Blogs,2020-09-30,2020-10-04,232290,10530,97,1049,False,False,1 days,33376,1036,70,4 days,278351
sAcvCbQFtIA,22,People & Blogs,2020-10-05,2020-10-05,489062,46897,765,0,True,False,6 days,507437,13756,0,0 days,1057152
X8oxmgDIh70,22,People & Blogs,2020-10-04,2020-10-05,4593063,359668,5513,14871,False,False,7 days,4824947,177342,5625,1 days,9975516
UEAS1zYvxIk,22,People & Blogs,2020-10-04,2020-10-05,1235836,82910,473,3117,False,False,5 days,1195440,33308,1105,1 days,2551716
lL-df-6LGJA,22,People & Blogs,2020-10-03,2020-10-05,3478559,207232,1441,5574,False,False,5 days,1116276,28937,431,2 days,4837009
9_QT5nWfY7U,22,People & Blogs,2020-10-03,2020-10-05,220704,21099,93,1486,False,False,3 days,44520,2025,140,2 days,289974
tmJe-ty_jpk,22,People & Blogs,2020-10-05,2020-10-06,4385236,0,0,20407,False,True,7 days,9877504,0,16511,1 days,14299658
6di34z0eAaI,22,People & Blogs,2020-10-05,2020-10-06,3677033,225850,2095,18469,False,False,6 days,2103888,55836,4276,1 days,6085352
MCf3pO3nmbw,22,People & Blogs,2020-10-05,2020-10-06,85963,3675,49,541,False,False,5 days,96370,2639,312,1 days,189500
o3j1Zr8Yrpk,22,People & Blogs,2020-10-06,2020-10-06,285100,30733,608,3910,False,False,5 days,1310414,59999,4081,0 days,1694237
vM_h4Xj8qWE,22,People & Blogs,2020-10-05,2020-10-06,73306,7323,49,690,False,False,5 days,69593,2984,148,1 days,154044
hvAPFPHkYIA,22,People & Blogs,2020-10-06,2020-10-07,3222251,268320,6514,15860,False,False,7 days,5237201,149893,8968,1 days,8902493
0ST4_hmop9Y,22,People & Blogs,2020-10-07,2020-10-07,759602,98443,612,7478,False,False,7 days,4640602,191481,8039,0 days,5705645
GShSFhTnbYM,22,People & Blogs,2020-10-06,2020-10-07,246750,8492,80,526,False,False,6 days,583282,8317,553,1 days,847920
ygPDdqVu-X8,22,People & Blogs,2020-10-06,2020-10-07,490092,16470,128,870,False,False,6 days,786163,13269,663,1 days,1307527
D8yhvH1vK24,22,People & Blogs,2020-10-06,2020-10-08,492728,41461,316,1153,False,False,5 days,447244,19526,366,2 days,1002478
KIXKIgKwGME,22,People & Blogs,2020-10-07,2020-10-08,246862,34093,73,2327,False,False,5 days,259147,19170,858,1 days,562457
isw2oJh0M6k,22,People & Blogs,2020-10-06,2020-10-08,320900,25285,324,5408,False,False,3 days,100057,4983,1360,2 days,457993
vbFwOyI0rvc,22,People & Blogs,2020-10-08,2020-10-09,130167,23190,62,2140,False,False,5 days,272696,26547,1736,1 days,456476
yjTPr8ataMI,22,People & Blogs,2020-10-09,2020-10-10,2637911,212867,4351,15122,False,False,5 days,2764245,103032,6514,1 days,5739691
1HmFkmr7sGQ,22,People & Blogs,2020-10-09,2020-10-10,582588,100633,1642,7923,False,False,5 days,716256,50780,3286,1 days,1461466
S6R3zF57854,22,People & Blogs,2020-10-07,2020-10-10,240792,5699,89,320,False,False,3 days,46790,639,33,3 days,294273
